Instance, Cost, Time(s)
berlin52-cedo2  7859 5.99393
berlin52-cedo   7811 6.04077
berlin52-mix2   8254 5.95566
berlin52-mix    7922 6.00234
berlin52-zero   7542 6.04075
burma14-cedo    48 0.277232
burma14-mix     57 0.270261
burma14-zero    30 0.281393
gil262-zero     2440 426.683
gr666-zero      3227 1488.06
st70-cedo2      822 12.8135
st70-cedo3      813 12.8299
st70-cedo       737 12.845
st70-mix2       922 12.7285
st70-mix        854 12.791
st70-zero       676 12.9605
zdsj1000-zero   20489603 2474.1
