Instance, Cost, Time(s)
berlin52-cedo2  7859 7.04613
berlin52-cedo   7811 6.04426
berlin52-mix2   8254 5.95585
berlin52-mix    7905 5.99957
berlin52-zero   7542 6.01415
burma14-cedo    48 0.277227
burma14-mix     57 0.272046
burma14-zero    30 0.277337
gil262-zero     2463 423.921
gr666-zero      3225 1473.83
st70-cedo2      823 12.9847
st70-cedo3      820 12.7829
st70-cedo       739 12.8649
st70-mix2       932 12.7248
st70-mix        849 12.7741
st70-zero       680 12.8904
zdsj1000-zero   20404277 2535.55
